=== Chain event number 1, total event number 5 ===
-1 -168.058000 288.323000 821.441000 888.119000 51.167600
11 -11.065200 12.788900 32.237400 36.403900 0.000511
-11 51.257300 -36.775600 3.953530 63.209000 0.000511
1000022 23.470300 -10.735300 63.629100 118.849000 97.007200
2 3.772620 102.282000 198.604000 225.335000 29.258200
13 29.525200 -7.888410 56.137300 63.916900 0.105658
-13 296.610000 -244.801000 354.842000 523.276000 0.105658
1000022 252.287000 -240.708000 363.955000 513.286000 97.007200
=== Chain event number 2, total event number 6 ===
4 265.013000 15.538100 -478.541000 547.530000 17.708000
11 -2.772300 -56.778400 -31.218800 64.854400 0.000511
-11 -78.430500 -22.243300 -40.659200 91.100300 0.000511
1000022 -53.617100 -97.517700 -69.370300 163.117000 97.007200
-4 -101.321000 328.334000 257.088000 429.542000 18.529800
13 5.331900 -48.321300 113.920000 123.859000 0.105658
-13 7.347330 -25.932300 -2.278320 27.049400 0.105658
1000022 -62.373800 -101.799000 224.713000 272.323000 97.007200
=== Chain event number 3, total event number 9 ===
2 -130.056000 -28.575300 -252.111000 285.982000 22.239500
-11 166.004000 56.886600 -183.657000 254.014000 0.000511
11 143.445000 78.715500 -203.268000 260.941000 0.000510
1000022 147.499000 36.490200 -184.395000 257.875000 97.007200
-4 143.726000 -87.106300 -330.266000 371.147000 20.726100
13 -148.085000 -28.408800 -191.949000 244.092000 0.105658
-13 -120.424000 28.840100 -151.186000 195.425000 0.105659
1000022 -175.360000 -35.367700 -322.898000 381.675000 97.007200
=== Chain event number 4, total event number 10 ===
2 -130.362000 -138.558000 13.142800 192.741000 27.993800
-13 13.743100 32.238900 -29.514700 45.818700 0.105658
13 -13.183100 131.883000 -49.985500 141.653000 0.105658
1000022 -35.467600 223.014000 13.425500 246.138000 97.007200
2 47.012700 107.886000 360.908000 380.001000 17.225000
-11 123.925000 -134.641000 315.931000 365.100000 0.000508
11 203.597000 -218.424000 391.476000 492.356000 0.000502
1000022 161.390000 -177.852000 349.468000 434.990000 97.007200
=== Chain event number 7, total event number 26 ===
3 -120.349000 -116.077000 74.305700 211.414000 105.910000
13 12.575200 -12.190400 -1.901500 17.617300 0.105658
-13 86.414900 94.793200 -43.447800 135.429000 0.105658
1000022 120.277000 93.660800 -27.259600 182.736000 97.007200
2 -246.539000 -49.730400 616.007000 667.919000 58.273000
-11 35.939900 -27.642500 555.603000 557.450000 0.000435
11 -18.357800 -16.604500 178.276000 179.986000 0.000476
1000022 78.878500 42.734100 1406.470000 1412.660000 97.007200
=== Chain event number 9, total event number 35 ===
2 -56.529300 56.412000 1355.250000 1357.670000 13.750500
13 -54.275800 21.008000 53.853300 79.293100 0.105658
-13 -23.464100 -5.019600 -0.478622 24.000000 0.105659
1000022 -186.803000 -52.879600 364.204000 423.965000 97.007200
2 -205.159000 -232.569000 500.732000 589.049000 8.190460
11 45.273100 3.465740 21.827400 50.379500 0.000511
-11 2.103400 38.137400 99.620700 106.692000 0.000512
1000022 90.121000 80.978800 121.737000 197.255000 97.007200
=== Chain event number 12, total event number 41 ===
1 52.933600 -262.385000 -136.241000 300.570000 11.528300
11 -43.869400 -8.644010 4.025350 44.893700 0.000511
-11 -159.071000 -46.209300 -79.765000 183.852000 0.000511
1000022 -238.427000 16.199100 -149.130000 297.926000 97.007200
2 353.446000 -83.021300 -729.145000 816.697000 59.380200
-13 -24.142400 14.339500 -16.160200 32.398100 0.105658
13 19.985600 35.189500 -132.181000 138.237000 0.105658
1000022 3.137600 171.331000 -222.087000 296.812000 97.007200
=== Chain event number 13, total event number 42 ===
3 -2.136770 -194.399000 50.649800 206.154000 46.246700
11 4.828140 -0.277365 -3.561740 6.006150 0.000511
-11 -21.962300 46.028800 195.097000 201.653000 0.000512
1000022 -41.519100 193.350000 335.586000 401.418000 97.007200
-3 -192.354000 -10.010600 58.066900 220.244000 89.641300
13 60.266900 5.848880 143.482000 155.735000 0.105658
-13 -3.448880 -25.799800 17.326200 31.268800 0.105658
1000022 168.502000 -51.958800 322.522000 380.163000 97.007200
=== Chain event number 15, total event number 47 ===
2 290.929000 291.355000 -199.458000 457.716000 13.905700
13 25.536600 -6.695840 -102.039000 105.398000 0.105658
-13 110.633000 -74.192100 -150.227000 200.779000 0.105658
