== Event number 1 ==
1	 250.7569 41.2133 25.3660 255.3851 0.5458 
-11	 3.4407 13.4692 -4.6654 14.6640 0.0112 
11	 -42.5442 19.2886 -26.3171 53.6158 0.0112 
1000022	 -211.6534 -73.9711 5.6164 244.3580 9410.3964 
1	 -69.3444 215.0065 -119.0967 255.3860 1.5518 
-11	 23.0979 1.5741 0.7981 23.1655 0.0112 
11	 -6.3973 -111.0741 56.0985 124.6011 0.0112 
1000022	 52.6438 -105.5066 62.2001 164.8704 9410.3964 
== Event number 2 ==
1	 39.7167 -175.9413 180.7997 255.3847 0.0692 
-11	 -3.5440 19.5666 12.1069 23.2809 0.0112 
11	 -1.5548 90.5304 -105.7827 139.2414 0.0112 
1000022	 -34.6179 65.8444 -87.1238 150.1160 9410.3964 
1	 -135.7163 65.8300 -206.0796 255.3846 0.0076 
-11	 39.6957 -44.7516 64.7900 88.1828 0.0112 
11	 -0.5550 -24.5083 60.9599 65.7046 0.0112 
1000022	 96.5756 3.4300 80.3297 158.7510 9410.3964 
== Event number 3 ==
1	 -149.5743 206.3446 -16.4532 255.3847 0.1031 
-11	 12.7045 -68.4494 -5.1222 69.8067 0.0112 
11	 -11.7286 5.8833 -1.7961 13.2443 0.0112 
1000022	 148.5984 -143.7785 23.3714 229.5874 9410.3964 
1	 68.2569 -242.6773 40.8636 255.3850 0.3983 
-11	 4.3416 78.5933 1.1980 78.7223 0.0112 
11	 -52.3522 96.8313 -25.7232 113.0432 0.0112 
1000022	 -20.2463 67.2527 -16.3384 120.8725 9410.3964 
== Event number 4 ==
1	 -137.7572 212.2822 34.2940 255.3917 8.0756 
-11	 -13.8959 -4.7287 4.6529 15.3986 0.0112 
11	 80.3121 -44.2795 -15.4311 92.9992 0.0112 
1000022	 71.3409 -163.2741 -23.5158 204.2335 9410.3964 
1	 -134.8277 -38.4447 -213.4389 255.3985 15.7200 
-11	 33.3378 -8.4911 3.5605 34.5860 0.0112 
11	 -7.8718 -11.4787 56.7174 58.4003 0.0112 
1000022	 109.3617 58.4145 153.1610 219.6382 9410.3964 
== Event number 5 ==
1	 36.4250 16.3486 252.2443 255.3848 0.1341 
-11	 -28.6239 -18.1034 -86.4881 92.8831 0.0112 
11	 -24.9151 -14.8247 -3.4821 29.2006 0.0112 
1000022	 17.1141 16.5795 -162.2741 190.5546 9410.3964 
1	 -68.1195 245.8249 12.2926 255.3847 0.0572 
-11	 -1.4982 -34.5864 28.0947 44.5846 0.0112 
11	 45.4853 -124.8178 -19.4185 134.2590 0.0112 
1000022	 24.1324 -86.4207 -20.9689 133.7947 9410.3964 
== Event number 6 ==
1	 -99.8465 200.4811 -122.7146 255.3854 0.8182 
-11	 -4.0720 -27.5232 -12.2010 30.3807 0.0112 
11	 55.6437 -18.6915 41.3153 71.7814 0.0112 
1000022	 48.2748 -154.2664 93.6003 210.4756 9410.3964 
1	 66.4998 -216.6214 -117.7891 255.3846 0.0003 
-11	 -17.0745 38.2003 -13.3064 43.9075 0.0112 
11	 -38.1861 15.4740 6.9262 41.7805 0.0112 
1000022	 -11.2392 162.9470 124.1693 226.9504 9410.3964 
== Event number 7 ==
1	 -209.7412 124.2082 -76.1698 255.3853 0.7861 
-11	 33.2513 -15.8148 -20.8736 42.3258 0.0112 
11	 70.6248 -71.2652 61.9095 117.8956 0.0112 
1000022	 105.8651 -37.1282 35.1339 152.4163 9410.3964 
1	 -17.6507 -241.7378 80.4525 255.3846 0.0030 
-11	 35.4661 54.7938 -13.2726 66.6061 0.0112 
11	 -30.8998 15.6762 6.8723 35.3240 0.0112 
1000022	 13.0845 171.2678 -74.0522 210.7083 9410.3964 
== Event number 8 ==
1	 156.2371 -143.6935 141.9980 255.3847 0.0581 
-11	 -42.5636 61.4604 -19.8252 77.3440 0.0112 
11	 -61.8398 5.7624 -15.3975 63.9880 0.0112 
1000022	 -51.8336 76.4707 -106.7753 171.3063 9410.3964 
1	 25.4687 137.4390 213.7349 255.3855 1.0224 
-11	 18.1096 4.5484 -6.4485 19.7545 0.0112 
11	 -40.0524 -55.5110 -34.5094 76.6588 0.0112 
1000022	 -3.5260 -86.4765 -172.7770 216.2242 9410.3964 
== Event number 9 ==
1	 -241.3981 -62.2902 55.3888 255.3851 0.4930 
-11	 58.8551 44.1625 -23.3726 77.2046 0.0112 
11	 79.6391 -26.9373 -20.6608 86.5730 0.0112 
1000022	 102.9039 45.0651 -11.3553 148.8604 9410.3964 
1	 -223.6408 -69.4286 101.9087 255.3853 0.7513 
-11	 56.8077 -8.9766 -0.1503 57.5128 0.0112 
11	 100.7921 22.5239 -35.3235 109.1519 0.0112 
1000022	 66.0410 55.8813 -66.4349 145.9730 9410.3964 
== Event number 10 ==
1	 -160.1624 -169.1864 -104.6197 255.3846 0.0002 
-11	 42.3858 19.0396 48.2451 66.9826 0.0112 
11	 46.2668 7.7536 33.6431 57.7287 0.0112 
1000022	 71.5097 142.3932 22.7315 187.9271 9410.3964 
1	 -250.0407 45.4061 25.2814 255.3848 0.1882 
-11	 49.8041 -3.2008 -36.9674 62.1071 0.0112 
11	 105.3050 -32.4637 27.3932 113.5493 0.0112 
1000022	 94.9316 -9.7415 -15.7072 136.9818 9410.3964 
== Event number 11 ==
1	 90.6565 145.8043 189.0577 255.3862 1.7685 
-11	 -49.8915 -27.2823 -31.0551 64.7914 0.0112 
11	 13.6179 -39.9790 -4.2075 42.4438 0.0112 
1000022	 -54.3829 -78.5431 -153.7951 205.4016 9410.3964 
1	 29.8235 231.1017 104.5174 255.3846 0.0017 
-11	 -11.5577 -43.6555 -53.6558 70.1308 0.0112 
11	 -31.5024 -11.0677 3.5224 33.5755 0.0112 
1000022	 13.2365 -176.3785 -54.3841 208.9320 9410.3964 
== Event number 12 ==
1	 95.4456 41.7764 -233.1656 255.3846 0.0048 
-11	 0.1224 20.5824 8.2204 22.1638 0.0112 
11	 -23.7625 13.8162 89.8311 93.9425 0.0112 
1000022	 -71.8055 -76.1750 135.1140 196.5321 9410.3964 
1	 -169.3816 -158.3434 -107.0433 255.3851 0.5337 
-11	 21.6889 32.7168 -14.9776 42.0135 0.0112 
11	 1.0411 -12.5531 22.6341 25.9033 0.0112 
1000022	 146.6515 138.1797 99.3868 244.7211 9410.3964 
== Event number 13 ==
1	 -240.0258 87.1406 3.8908 255.3851 0.5108 
-11	 23.4256 -6.2519 29.4948 38.1811 0.0112 
11	 83.3878 -67.0553 -10.7076 107.5388 0.0112 
1000022	 133.2125 -13.8335 -22.6780 166.9180 9410.3964 
1	 36.6634 -209.3891 141.5342 255.3869 2.5213 
-11	 -6.4074 35.2497 11.9541 37.7691 0.0112 
11	 30.4133 25.0334 -18.8307 43.6606 0.0112 
1000022	 -60.6693 149.1060 -134.6576 231.2065 9410.3964 
== Event number 14 ==
1	 157.7397 -196.0329 -43.6906 255.3874 3.1682 
-11	 -69.6650 44.4804 9.9296 83.2486 0.0112 
11	 -32.6249 42.1270 -29.2421 60.7798 0.0112 
1000022	 -55.4498 109.4255 63.0031 168.6072 9410.3964 
1	 143.9748 -56.5328 -203.2157 255.3846 0.0011 
-11	 -30.5723 -14.8740 6.8925 34.6903 0.0112 
11	 -28.3931 61.0805 67.2827 95.2049 0.0112 
1000022	 -85.0094 10.3262 129.0405 182.7432 9410.3964 
== Event number 15 ==
1	 -127.5905 -60.3082 212.8349 255.3946 11.2698 
-11	 1.3547 35.1184 -24.6237 42.9124 0.0112 
11	 18.4575 4.9524 11.3347 22.2192 0.0112 
1000022	 107.7783 20.2375 -199.5459 247.4968 9410.3964 
1	 -220.3106 125.0468 32.3706 255.3846 0.0000 
-11	 81.6941 -21.8143 -22.1373 87.4063 0.0112 
11	 60.7045 -23.7362 -37.3355 75.1159 0.0112 
1000022	 77.9120 -79.4963 27.1023 150.1162 9410.3964 
== Event number 16 ==
1	 69.5382 -157.9112 -188.2617 255.3964 13.3482 
-11	 8.8318 33.9662 1.8806 35.1462 0.0112 
11	 -45.4003 27.5698 97.6789 111.1866 0.0112 
1000022	 -32.9697 96.3751 88.7022 166.2938 9410.3964 
1	 -183.5227 -85.1518 155.8516 255.3849 0.3066 
-11	 50.6131 48.6863 -26.9183 75.2107 0.0112 
11	 7.9661 34.3946 -48.4144 59.9200 0.0112 
1000022	 124.9436 2.0709 -80.5189 177.5074 9410.3964 
== Event number 17 ==
1	 197.9335 157.9374 -33.1573 255.3846 0.0032 
-11	 -51.4399 -14.4290 31.4933 62.0169 0.0112 
11	 -7.0833 -55.8973 17.1306 58.8910 0.0112 
1000022	 -139.4103 -87.6111 -15.4666 191.7304 9410.3964 
1	 -104.2114 187.4702 -138.6154 255.3878 3.5914 
-11	 21.4739 8.5492 8.5584 24.6470 0.0112 
11	 61.4161 -107.9639 62.2539 138.9378 0.0112 
1000022	 21.3214 -88.0554 67.8032 149.0504 9410.3964 
== Event number 18 ==
1	 152.1604 -195.8597 -60.8874 255.3850 0.3983 
-11	 -17.7994 62.4705 33.7174 73.1865 0.0112 
11	 5.2843 3.2033 -19.3461 20.3093 0.0112 
1000022	 -139.6453 130.1859 46.5161 219.1422 9410.3964 
1	 218.3994 -26.9143 -129.6046 255.3867 2.3130 
-11	 -44.4839 -21.6147 44.3136 66.4057 0.0112 
11	 -62.6254 38.0517 62.8364 96.5313 0.0112 
1000022	 -111.2902 10.4773 22.4546 149.6993 9410.3964 
== Event number 19 ==
1	 179.2196 180.9881 18.5631 255.3852 0.6385 
-11	 -39.5378 -6.1281 -23.5620 46.4324 0.0112 
11	 -82.0697 -78.6903 -21.1963 115.6586 0.0112 
1000022	 -57.6121 -96.1697 26.1952 150.5468 9410.3964 
1	 -90.6683 -112.1749 -210.7536 255.3851 0.5245 
-11	 -14.6599 12.5211 46.7790 50.5962 0.0112 
11	 73.8131 26.0792 55.5481 95.9901 0.0112 
1000022	 31.5150 73.5746 108.4265 166.0516 9410.3964 
== Event number 20 ==
1	 241.7782 -25.7114 78.0976 255.3915 7.8009 
-11	 -5.2795 3.1508 -30.0463 30.6690 0.0112 
11	 -6.7328 -10.3848 -26.7698 29.4925 0.0112 
1000022	 -229.7659 32.9455 -21.2815 252.4699 9410.3964 
1	 -147.5236 -120.3810 170.1941 255.3854 0.8684 
-11	 11.0273 1.0914 -51.0412 52.2303 0.0112 
11	 59.9803 53.6764 -83.6338 116.0750 0.0112 
1000022	 76.5160 65.6133 -35.5191 144.3323 9410.3964 
== Event number 21 ==
1	 -17.2857 -167.8760 191.6739 255.3867 2.3355 
-11	 -2.9573 39.0957 -78.6112 87.8462 0.0112 
11	 -9.1470 44.2568 7.7658 45.8546 0.0112 
1000022	 29.3901 84.5235 -120.8284 178.9355 9410.3964 
1	 -114.4487 151.0158 -171.2196 255.3860 1.5869 
-11	 56.6745 -49.2433 37.8206 84.0673 0.0112 
11	 0.4106 12.5262 -7.8222 14.7740 0.0112 
1000022	 57.3635 -114.2987 141.2212 213.7957 9410.3964 
== Event number 22 ==
1	 -16.8596 249.9273 -49.7294 255.3853 0.7514 
-11	 -1.2751 -26.8494 37.5643 46.1909 0.0112 
11	 14.5710 -77.3554 41.3830 88.9310 0.0112 
1000022	 3.5637 -145.7225 -29.2179 177.5157 9410.3964 
1	 167.3802 115.0991 -154.7811 255.3850 0.3624 
-11	 -61.6605 -55.9438 52.3051 98.3238 0.0112 
11	 -29.4167 -46.1571 2.2270 54.7795 0.0112 
1000022	 -76.3030 -12.9982 100.2490 159.5348 9410.3964 
== Event number 23 ==
1	 110.8438 -102.4819 205.9912 255.3848 0.1394 
-11	 -28.3756 41.6437 -15.4392 52.7044 0.0112 
11	 -29.7230 -20.6583 -21.1710 41.9338 0.0112 
1000022	 -52.7451 81.4965 -169.3809 218.0000 9410.3964 
1	 -56.9659 93.1329 230.8728 255.3850 0.3752 
-11	 30.8970 7.9594 -24.9400 40.4968 0.0112 
11	 9.6503 -74.1486 -102.4224 126.8129 0.0112 
1000022	 16.4187 -26.9437 -103.5104 145.3284 9410.3964 
== Event number 24 ==
1	 -229.3257 -85.6030 -72.7711 255.3967 13.6851 
-11	 81.9048 28.7753 42.5817 96.6935 0.0112 
11	 45.3170 -14.2683 33.4973 58.1317 0.0112 
1000022	 102.1039 71.0960 -3.3080 157.8011 9410.3964 
1	 36.3521 118.5595 -223.2562 255.3849 0.2979 
-11	 -31.2162 -37.5473 80.6633 94.2912 0.0112 
11	 -8.5545 -5.0448 79.0503 79.6718 0.0112 
1000022	 3.4186 -75.9674 63.5425 138.6751 9410.3964 
== Event number 25 ==
1	 -245.3030 56.1078 -43.5848 255.3847 0.0886 
-11	 22.8323 -35.4887 16.9130 45.4623 0.0112 
11	 71.0806 -41.0738 26.3256 86.2123 0.0112 
1000022	 151.3900 20.4547 0.3462 180.9637 9410.3964 
1	 -91.0677 -226.8891 73.8195 255.3847 0.0258 
-11	 27.0750 14.7843 -33.1113 45.2548 0.0112 
11	 25.7973 -1.5115 -9.9965 27.7079 0.0112 
1000022	 38.1954 213.6162 -30.7117 239.6756 9410.3964 
== Event number 26 ==
1	 -59.2877 116.2561 219.5229 255.3854 0.9127 
-11	 24.9216 -6.0419 -71.6619 76.1120 0.0112 
11	 20.7725 -62.8901 -21.1624 69.5307 0.0112 
1000022	 13.5936 -47.3241 -126.6986 166.9949 9410.3964 
1	 161.1383 -66.2562 -186.7230 255.3853 0.7639 
-11	 -17.6524 42.5176 35.3095 58.0183 0.0112 
11	 -34.5517 -28.1495 11.6970 46.0766 0.0112 
1000022	 -108.9341 51.8881 139.7165 208.5428 9410.3964 
== Event number 27 ==
1	 14.6935 -89.8532 -238.6036 255.3848 0.2227 
-11	 -35.1470 19.8696 53.1738 66.7651 0.0112 
11	 -19.4836 26.0499 5.4721 32.9874 0.0112 
1000022	 39.9372 43.9337 179.9577 212.8857 9410.3964 
1	 160.6804 -110.9097 164.6273 255.3847 0.0179 
-11	 11.8313 13.9855 -24.5405 30.6239 0.0112 
11	 -79.4717 60.6890 -88.5599 133.5731 0.0112 
1000022	 -93.0400 36.2352 -51.5269 148.4414 9410.3964 
== Event number 28 ==
1	 92.6114 -220.9026 -88.5724 255.3869 2.5958 
-11	 5.9108 63.7268 8.8780 64.6133 0.0112 
11	 -56.9657 81.1789 7.9350 99.4891 0.0112 
1000022	 -41.5564 75.9969 71.7594 148.5337 9410.3964 
1	 -60.7881 -166.3458 -183.9977 255.3847 0.0521 
