== Event number 0 ==
1	 -99.1628 179.4810 -150.1139 254.1286 0.4949 
-11	 17.4670 10.9635 15.5416 25.8234 0.0112 
11	 -13.0034 -65.2201 24.3179 70.8104 0.0112 
1000022	 94.6991 -125.2244 110.2544 214.9779 9410.3964 
1	 85.5909 195.8944 148.5619 260.3304 0.8643 
-11	 -3.1085 -71.7557 -47.0171 85.8438 0.0112 
11	 -6.5464 -41.5089 -66.0865 78.3153 0.0112 
1000022	 -75.9359 -82.6298 -35.4583 152.5177 9410.3964 
== Event number 1 ==
1	 -173.8108 -120.9291 -138.7083 253.1285 0.0308 
-11	 58.1669 19.8649 60.6303 86.3368 0.0112 
11	 27.4693 -18.0915 7.2983 33.6919 0.0112 
1000022	 88.1745 119.1557 70.7797 190.7695 9410.3964 
1	 -248.1663 -8.1684 -57.6641 254.9100 0.7245 
-11	 60.1395 33.1992 8.8186 69.2584 0.0112 
11	 81.5695 -41.7058 5.9912 91.8089 0.0112 
1000022	 106.4573 16.6751 42.8543 151.1889 9410.3964 
== Event number 2 ==
1	 -227.5278 111.3832 -32.3069 255.3821 1.1668 
-11	 64.0106 4.4655 4.7348 64.3407 0.0112 
11	 103.8307 -59.8068 12.9045 120.5164 0.0112 
1000022	 59.6865 -56.0419 14.6676 127.7839 9410.3964 
1	 -69.7196 46.5693 -243.6822 257.7141 6.0252 
-11	 -18.5938 -7.2856 53.9453 57.5232 0.0112 
11	 64.2053 -27.9991 56.0889 89.7343 0.0112 
1000022	 24.1081 -11.2847 133.6479 167.2744 9410.3964 
== Event number 3 ==
1	 -243.0969 -37.0431 -73.6040 256.6827 0.2001 
-11	 66.8063 7.7655 -12.9235 68.4866 0.0112 
11	 -4.8659 -15.1463 -3.8748 16.3741 0.0112 
1000022	 181.1565 44.4238 90.4023 228.8539 9410.3964 
1	 111.5240 -196.9087 121.6519 256.9245 0.3983 
-11	 -4.2974 17.9557 -45.7557 49.3403 0.0112 
11	 -63.6831 41.5315 -44.1258 87.9062 0.0112 
1000022	 -43.5435 137.4215 -31.7704 176.6365 9410.3964 
== Event number 4 ==
1	 -208.7959 123.6484 -75.8265 254.2344 0.7861 
-11	 33.3145 -15.8298 -21.0410 42.4638 0.0112 
11	 69.9764 -70.7669 61.6437 117.0667 0.0112 
1000022	 105.5051 -37.0517 35.2238 152.1686 9410.3964 
1	 -152.3216 -193.4488 84.0225 260.1626 0.4837 
-11	 47.3185 30.3039 -44.3268 71.5699 0.0112 
11	 13.8561 70.4367 15.8391 73.5134 0.0112 
1000022	 91.1470 92.7081 -55.5348 171.4558 9410.3964 
== Event number 5 ==
1	 219.7683 -123.6052 47.2452 256.5318 0.1036 
-11	 -1.3347 27.8729 -18.4493 33.4524 0.0112 
11	 -125.9957 33.3573 -21.9211 132.1672 0.0112 
1000022	 -92.4379 62.3750 -6.8748 147.9631 9410.3964 
1	 -141.2909 -138.7626 -167.8510 259.6098 5.0971 
-11	 -13.2605 11.7000 -0.1550 17.6852 0.0112 
11	 0.9974 14.7214 -12.0843 19.0723 0.0112 
1000022	 153.5540 112.3412 180.0903 279.3605 9410.3964 
== Event number 6 ==
1	 -158.8041 -167.7517 -103.7325 253.2188 0.0002 
-11	 42.1559 18.7609 48.1237 66.6708 0.0112 
11	 45.9989 7.5290 33.4409 57.3663 0.0112 
1000022	 70.6493 141.4618 22.1679 186.8276 9410.3964 
