== Event number 1 ==
1	 -209.7452 114.6780 -86.2328 254.1296 1.6641 
-11	 38.8094 -56.2614 13.6538 69.6990 0.0112 
11	 13.7380 -39.4258 29.9646 51.3908 0.0112 
1000022	 157.1978 -18.9908 42.6144 190.5208 9410.3964 
1	 172.6019 194.7398 7.0692 260.3203 1.6641 
-11	 -61.6941 -33.0251 16.6253 71.9252 0.0112 
11	 -27.3901 -95.7062 -11.8702 100.2537 0.0112 
1000022	 -83.5177 -66.0085 -11.8243 144.5079 9410.3964 
== Event number 2 ==
1	 173.2058 177.9721 48.9776 253.1300 1.6641 
-11	 -45.9464 -18.4916 -35.1968 60.7605 0.0112 
11	 -70.4559 -29.3402 -16.3273 78.0479 0.0112 
1000022	 -56.8035 -130.1402 2.5464 171.9884 9410.3964 
1	 -161.8971 -196.7214 -8.6317 254.9238 1.6641 
-11	 -6.6049 -6.3802 7.0765 11.5940 0.0112 
11	 31.2964 96.2765 -5.7412 101.3982 0.0112 
1000022	 137.2057 106.8251 7.2963 199.2502 9410.3964 
== Event number 3 ==
1	 187.2822 -155.8870 -81.3791 256.9039 1.6641 
-11	 -6.1199 -12.0980 -5.9965 14.8251 0.0112 
11	 7.8454 10.0373 23.4762 26.7103 0.0112 
1000022	 -189.0077 157.9477 63.8994 272.3324 9410.3964 
1	 -135.6964 -38.6924 -214.8141 257.0163 1.6641 
-11	 33.4350 -8.4646 3.7111 34.6891 0.0112 
11	 -7.7301 -11.4004 57.0005 58.6413 0.0112 
1000022	 109.9915 58.5574 154.1024 220.6469 9410.3964 
== Event number 4 ==
1	 -68.4653 247.0726 12.3550 256.6840 1.6641 
-11	 -1.4561 -34.8976 28.1980 44.8899 0.0112 
11	 45.5557 -125.0734 -19.4705 134.5280 0.0112 
1000022	 24.3657 -87.1017 -21.0825 134.2954 9410.3964 
1	 -15.3138 249.7987 -58.1224 256.9314 1.6641 
-11	 29.3760 -71.0441 1.0462 76.8851 0.0112 
11	 -10.0832 -49.8497 -24.1759 56.3130 0.0112 
1000022	 -3.9789 -128.9048 81.2520 180.6781 9410.3964 
== Event number 5 ==
1	 -129.4050 -210.2851 -57.0047 253.4101 1.6641 
-11	 -5.0634 -9.3587 3.2601 11.1293 0.0112 
11	 39.3586 3.9410 0.8959 39.5657 0.0112 
1000022	 95.1098 215.7027 52.8487 260.3400 9410.3964 
1	 -17.6645 -241.9270 80.5155 255.5878 1.6641 
-11	 35.4799 54.8519 -13.2905 66.6649 0.0112 
11	 -30.8915 15.6951 6.8626 35.3231 0.0112 
1000022	 13.0760 171.3800 -74.0875 210.8114 9410.3964 
== Event number 6 ==
1	 76.0493 -241.3321 22.0183 253.9904 1.6641 
-11	 0.5931 56.4353 22.6921 60.8296 0.0112 
11	 -18.4903 -8.9701 -12.1544 23.8767 0.0112 
1000022	 -58.1521 193.8669 -32.5560 226.7958 9410.3964 
1	 -224.3522 123.8247 20.6654 257.0899 1.6641 
-11	 17.4574 8.1763 -22.3014 29.4784 0.0112 
11	 32.0154 4.5141 25.5972 41.2382 0.0112 
1000022	 174.8794 -136.5151 -23.9612 243.3181 9410.3964 
== Event number 7 ==
1	 5.2178 198.2039 -159.4747 254.4520 1.6641 
-11	 -20.4384 -74.0943 41.2425 87.2276 0.0112 
11	 7.8478 -84.2428 65.8484 107.2122 0.0112 
1000022	 7.3728 -39.8668 52.3838 117.4657 9410.3964 
1	 191.2052 130.4495 -111.0270 256.7200 1.6641 
-11	 -64.3250 -8.9745 12.3564 66.1131 0.0112 
11	 3.5837 13.0987 -2.0829 13.7393 0.0112 
1000022	 -130.4639 -134.5736 100.7535 233.8644 9410.3964 
== Event number 8 ==
1	 -12.4375 -239.8700 77.2135 252.3012 1.6641 
-11	 -7.7967 59.0320 13.3708 61.0275 0.0112 
11	 40.8776 45.3639 -42.6800 74.5014 0.0112 
1000022	 -20.6434 135.4741 -47.9043 174.5984 9410.3964 
1	 120.3591 40.9740 -222.9472 256.6560 1.6641 
-11	 -55.7712 -9.8001 84.1699 101.4448 0.0112 
11	 -15.3278 -37.5509 6.8679 41.1362 0.0112 
1000022	 -49.2601 6.3770 131.9094 171.1073 9410.3964 
== Event number 9 ==
1	 -80.2522 -70.9803 231.2065 254.8268 1.6641 
-11	 19.6406 5.9516 5.5875 21.2698 0.0112 
11	 15.3031 -9.3636 2.7961 18.1574 0.0112 
1000022	 45.3084 74.3923 -239.5901 272.7652 9410.3964 
1	 184.4382 50.3684 -173.0999 257.9141 1.6641 
-11	 8.2205 11.6761 8.2809 16.5074 0.0112 
11	 -38.3357 -46.3866 69.5381 91.9614 0.0112 
1000022	 -154.3230 -15.6579 95.2808 206.2756 9410.3964 
== Event number 10 ==
1	 -1.8352 -179.6233 184.0692 257.1985 1.6641 
-11	 11.9017 -8.3535 -24.1827 28.2178 0.0112 
11	 11.4539 12.5650 12.1310 20.8864 0.0112 
1000022	 -21.5204 175.4119 -172.0176 265.0149 9410.3964 
1	 73.8207 231.3559 -55.6410 249.1438 1.6641 
-11	 -13.7420 -90.5111 25.3920 95.0046 0.0112 
11	 -16.3804 -84.4281 32.9042 92.0822 0.0112 
1000022	 -43.6983 -56.4167 -2.6553 120.4568 9410.3964 
== Event number 11 ==
1	 178.6928 -175.2195 95.0863 267.7238 1.6641 
-11	 -60.0881 39.0822 2.8263 71.7356 0.0112 
11	 -77.4733 72.0304 -28.5725 109.5759 0.0112 
1000022	 -41.1314 64.1069 -69.3400 141.4918 9410.3964 
1	 43.6096 163.4480 183.2411 249.3913 1.6641 
-11	 20.6227 -39.6329 -50.3109 67.2849 0.0112 
11	 2.1984 -24.1689 13.5924 27.8160 0.0112 
1000022	 -66.4307 -99.6463 -146.5226 212.6539 9410.3964 
== Event number 12 ==
1	 151.4213 42.0681 -199.5563 254.0128 1.6641 
-11	 -18.3930 5.9894 -8.8522 21.2732 0.0112 
11	 -42.2944 -40.9959 110.0382 124.8114 0.0112 
1000022	 -90.7339 -7.0616 98.3703 165.4377 9410.3964 
1	 -104.9851 188.8619 -139.6445 257.2798 1.6641 
-11	 21.4592 8.4120 8.6082 24.6043 0.0112 
11	 61.9509 -108.7629 62.8488 140.0616 0.0112 
1000022	 21.5749 -88.5110 68.1875 149.5313 9410.3964 
== Event number 13 ==
1	 51.0032 -253.0072 -14.3680 258.4996 1.6641 
-11	 21.1201 48.2481 15.0488 54.7761 0.0112 
11	 -43.6898 111.6044 -20.2642 121.5524 0.0112 
1000022	 -28.4335 93.1547 19.5834 138.8530 9410.3964 
1	 136.1533 127.9205 172.2250 254.0954 1.6641 
-11	 3.3481 10.1903 -24.4155 26.6679 0.0112 
11	 13.8208 2.1946 -11.5562 18.1491 0.0112 
1000022	 -153.3222 -140.3053 -136.2533 266.7745 9410.3964 
== Event number 14 ==
1	 -32.8698 -150.2881 -202.6639 254.4431 1.6641 
-11	 37.1324 46.1194 46.7133 75.4185 0.0112 
11	 -6.8245 3.5625 74.0010 74.4004 0.0112 
1000022	 2.5618 100.6063 81.9497 162.0319 9410.3964 
1	 216.6046 133.2744 30.1956 256.1114 1.6641 
-11	 -74.0350 -11.1832 -7.2467 75.2248 0.0112 
11	 -0.9573 -25.4582 24.5414 35.3742 0.0112 
1000022	 -141.6122 -96.6329 -47.4903 202.6269 9410.3964 
== Event number 15 ==
1	 224.3929 111.6798 63.8262 258.6504 1.6641 
-11	 -22.1456 10.4958 -26.3956 36.0185 0.0112 
11	 -87.5594 -74.6721 7.9510 115.3507 0.0112 
1000022	 -114.6879 -47.5036 -45.3816 163.9506 9410.3964 
1	 -226.3222 15.2368 -123.6300 258.3408 1.6641 
-11	 -2.7914 -18.2388 3.8052 18.8398 0.0112 
11	 121.7160 -0.7218 28.4785 125.0054 0.0112 
1000022	 107.3975 3.7239 91.3463 171.1801 9410.3964 
== Event number 16 ==
1	 -22.2896 -167.9535 -190.7607 255.1402 1.6641 
-11	 27.3998 45.8875 17.7866 56.3275 0.0112 
