== Event number 0 ==
1	 -74.6933 31.7698 -242.1423 255.3846 0.0000 
-11	 -1.8933 11.5991 -5.4615 12.9597 -0.0000 
11	 -18.4776 -9.9530 8.4498 22.6248 0.0000 
1000022	 95.0642 -33.4160 239.1540 277.0539 9410.3964 
1	 69.7188 238.0113 60.9199 255.3846 -0.0000 
-11	 -33.7628 -17.5435 -22.1351 44.0189 0.0000 
11	 25.2798 -13.4013 0.7389 28.6218 -0.0000 
1000022	 -61.2359 -207.0665 -39.5237 239.9976 9410.3964 
== Event number 1 ==
1	 169.3314 191.0499 6.9353 255.3846 0.0000 
-11	 -61.6775 -32.5722 16.8533 71.7572 0.0000 
11	 -25.8398 -93.6701 -11.8811 97.8925 -0.0000 
1000022	 -81.8141 -64.8077 -11.9075 142.9887 9410.3964 
1	 78.8475 -113.6068 -214.7042 255.3846 0.0000 
-11	 -19.6767 27.4193 0.0031 33.7489 -0.0000 
11	 -13.9341 38.2259 8.3513 41.5346 0.0000 
1000022	 -45.2367 47.9616 206.3498 237.3548 9410.3964 
== Event number 2 ==
1	 174.7508 179.5596 49.4145 255.3846 -0.0000 
-11	 -46.0370 -18.7160 -35.1209 60.8537 0.0000 
11	 -71.0617 -29.7435 -16.5447 78.7919 0.0000 
1000022	 -57.6521 -131.1002 2.2511 172.9928 9410.3964 
1	 -200.7885 41.2032 -152.3404 255.3846 0.0000 
-11	 12.5002 23.1386 7.0204 27.2202 0.0000 
11	 -11.1353 5.1383 2.1190 12.4453 0.0000 
1000022	 199.4236 -69.4802 143.2010 272.9729 9410.3964 
== Event number 3 ==
1	 68.2570 -242.6777 40.8637 255.3846 0.0000 
-11	 4.3417 78.5935 1.1980 78.7224 -0.0000 
11	 -52.3524 96.8315 -25.7233 113.0434 0.0000 
1000022	 -20.2463 67.2527 -16.3384 120.8726 9410.3964 
1	 186.1770 -154.9671 -80.8989 255.3846 -0.0000 
-11	 -6.0692 -12.1479 -6.0224 14.8551 0.0000 
11	 7.9394 9.9505 23.4334 26.6678 -0.0000 
1000022	 -188.0473 157.1644 63.4879 271.1154 9410.3964 
== Event number 4 ==
1	 -104.6101 -23.8004 231.7576 255.3846 0.0000 
-11	 29.7353 11.8028 -3.3734 32.1695 -0.0000 
11	 -13.4651 -23.3067 -36.5176 45.3657 0.0000 
1000022	 88.3399 35.3043 -191.8665 235.1031 9410.3964 
1	 -69.0926 46.1505 -241.4905 255.3846 0.0000 
-11	 -18.6440 -7.1837 53.3574 56.9756 0.0000 
11	 64.1490 -27.9285 55.5884 89.3597 -0.0000 
1000022	 23.5876 -11.0383 132.5447 166.3031 9410.3964 
== Event number 5 ==
1	 77.6505 -237.6703 52.0051 255.3846 -0.0000 
-11	 -37.0501 34.9632 -31.3529 59.8176 -0.0000 
11	 29.6261 45.0422 -1.9264 53.9464 -0.0000 
1000022	 -70.2264 157.6649 -18.7258 198.8744 9410.3964 
1	 -66.2185 83.5926 -232.0532 255.3846 0.0000 
-11	 26.9892 -28.5571 94.3405 102.1962 0.0000 
11	 -9.5212 14.9525 -4.5346 18.2974 -0.0000 
1000022	 48.7505 -69.9880 142.2473 192.1448 9410.3964 
== Event number 6 ==
1	 -15.2218 248.2979 -57.7732 255.3846 0.0000 
-11	 29.3911 -70.7548 0.9586 76.6224 0.0000 
11	 -10.1173 -49.5710 -24.2280 56.0949 -0.0000 
1000022	 -4.0520 -127.9721 81.0425 179.9210 9410.3964 
1	 66.4998 -216.6214 -117.7891 255.3846 -0.0000 
-11	 -17.0745 38.2003 -13.3066 43.9074 0.0000 
11	 -38.1862 15.4739 6.9262 41.7803 0.0000 
1000022	 -11.2392 162.9472 124.1695 226.9506 9410.3964 
== Event number 7 ==
1	 -251.6164 4.6267 -43.4635 255.3846 -0.0000 
-11	 12.7777 -26.3937 -1.0856 29.3441 0.0000 
11	 106.6040 13.9518 50.9661 118.9816 0.0000 
1000022	 132.2347 7.8152 -6.4170 164.3127 9410.3964 
1	 -39.5670 94.2501 -234.0357 255.3846 -0.0000 
-11	 38.6763 -12.3400 34.6471 53.3719 -0.0000 
11	 -37.6214 -22.5839 71.2208 83.6529 0.0000 
1000022	 38.5121 -59.3262 128.1677 175.6136 9410.3964 
== Event number 8 ==
1	 -149.5247 -189.8967 82.4797 255.3846 0.0000 
-11	 46.8652 29.6112 -44.1483 70.8678 -0.0000 
11	 13.0552 69.3396 16.2235 72.3990 0.0000 
1000022	 89.6043 90.9459 -54.5548 169.3715 9410.3964 
1	 150.5441 -162.5161 127.0681 255.3846 0.0000 
-11	 -60.9220 20.1459 -28.9638 70.4006 0.0000 
11	 -18.4423 69.0666 -1.6733 71.5061 -0.0000 
1000022	 -71.1799 73.3035 -96.4310 170.7317 9410.3964 
== Event number 9 ==
1	 -203.4561 -132.8868 -78.5370 255.3846 -0.0000 
-11	 51.5515 11.8906 -12.3359 54.3241 0.0000 
11	 10.7312 -15.6941 -4.1415 19.4580 -0.0000 
1000022	 141.1734 136.6903 95.0143 238.8562 9410.3964 
1	 -150.3159 -121.8937 166.6384 255.3846 0.0000 
-11	 8.7829 29.5765 5.9252 31.4168 -0.0000 
11	 -10.3056 18.7704 -0.4494 21.4181 -0.0000 
1000022	 151.8386 73.5469 -172.1142 259.8034 9410.3964 
== Event number 10 ==
1	 -223.6415 -69.4288 101.9090 255.3846 -0.0000 
-11	 56.8079 -8.9766 -0.1503 57.5129 0.0000 
11	 100.7924 22.5240 -35.3237 109.1522 -0.0000 
1000022	 66.0412 55.8814 -66.4351 145.9733 9410.3964 
1	 246.1780 15.8765 66.0730 255.3846 -0.0000 
-11	 -28.9310 22.6256 -28.4686 46.4691 0.0000 
11	 -112.6301 0.3556 -36.1634 118.2940 -0.0000 
