== Event number 0 ==
1	 -242.1423 31.7698 149.7523 286.4751 0.0000 
-11	 -2.6286 10.3627 1.5980 10.8097 -0.0000 
11	 -5.0237 -17.1622 22.6692 28.8734 0.0000 
1000022	 249.7946 -24.9703 394.0034 477.1477 9410.3964 
1	 60.9199 238.0113 353.9820 430.8873 -0.0000 
-11	 -36.6917 -32.5704 15.2351 51.3734 0.0000 
11	 25.8413 -12.3277 12.0397 31.0596 -0.0000 
1000022	 -50.0695 -193.1131 186.7662 289.9856 9410.3964 
== Event number 1 ==
1	 6.9353 191.0499 494.8554 530.4998 0.0000 
-11	 -26.0994 -42.1707 36.4286 61.5353 0.0000 
11	 40.5790 -70.3927 18.8229 83.4032 -0.0000 
1000022	 -21.4149 -78.4865 17.9161 127.8676 9410.3964 
1	 -214.7042 -113.6068 366.8918 440.0159 -0.0000 
-11	 0.5098 0.8708 37.5405 37.5541 -0.0000 
11	 12.8370 -4.7113 44.5375 46.5894 -0.0000 
1000022	 201.3574 117.4473 119.0532 279.1464 9410.3964 
== Event number 2 ==
1	 49.4145 179.5596 502.5196 535.9192 0.0000 
-11	 -31.5463 -39.4862 -10.8551 51.6930 -0.0000 
11	 -43.3582 -48.2889 15.4268 66.7064 -0.0000 
1000022	 25.4900 -91.7845 60.9317 148.9872 9410.3964 
1	 -152.3404 41.2032 -28.5732 160.3799 0.0000 
-11	 14.8688 22.0623 36.8046 45.4137 -0.0000 
11	 -7.4005 4.7945 1.8434 9.0084 0.0000 
1000022	 144.8721 -68.0600 557.9482 588.5038 9410.3964 
== Event number 3 ==
1	 40.8637 -242.6777 351.9146 429.4254 0.0000 
-11	 15.1007 63.6461 70.3478 96.0608 -0.0000 
11	 -41.0387 102.1365 85.2689 139.2365 -0.0000 
1000022	 -14.9257 76.8951 60.4918 138.5831 9410.3964 
1	 -80.8989 -154.9671 518.6787 547.3455 0.0000 
-11	 -16.2946 -2.6478 2.1218 16.6441 0.0000 
11	 14.6392 -0.4457 -20.6097 25.2836 0.0000 
1000022	 82.5543 158.0606 67.8322 214.0326 9410.3964 
== Event number 4 ==
1	 231.7576 -23.8004 107.4436 256.5583 0.0000 
-11	 -43.1898 -0.5025 24.4174 49.6168 0.0000 
11	 1.8638 20.8152 70.9957 74.0077 0.0000 
1000022	 -190.4316 3.4877 365.1663 423.1231 9410.3964 
1	 -241.4905 46.1505 157.6730 292.0758 0.0000 
-11	 17.2424 -19.9199 89.4662 93.2647 0.0000 
11	 113.4862 -12.7573 97.9165 150.4310 0.0000 
1000022	 110.7620 -13.4733 222.9673 267.5342 9410.3964 
== Event number 5 ==
1	 52.0051 -237.6703 365.1991 438.8189 0.0000 
-11	 -36.9227 54.7794 23.0894 69.9799 -0.0000 
11	 35.0145 36.4885 35.4505 61.7589 -0.0000 
1000022	 -50.0969 146.4024 144.2841 232.7481 9410.3964 
1	 -232.0532 83.5926 161.7376 294.9500 0.0000 
-11	 84.4139 -26.7696 153.1374 176.8994 0.0000 
11	 -12.2203 5.6953 4.6939 14.2760 -0.0000 
1000022	 159.8596 -62.5183 248.4542 317.1805 9410.3964 
== Event number 6 ==
1	 -57.7732 248.2979 233.8577 345.9466 0.0000 
-11	 42.5297 -72.4404 79.6476 115.7589 0.0000 
11	 -5.4295 -8.4806 78.7887 79.4296 0.0000 
1000022	 20.6730 -167.3769 175.7289 262.1707 9410.3964 
1	 -117.7891 -216.6214 349.4296 427.6682 0.0000 
-11	 0.3539 11.3522 50.3668 51.6315 0.0000 
11	 -17.1097 35.8820 26.9796 48.0433 0.0000 
1000022	 134.5449 169.3872 141.2470 275.9628 9410.3964 
== Event number 7 ==
1	 -43.4635 4.6267 -100.4547 109.5520 -0.0000 
-11	 3.5985 -26.6852 46.9408 54.1155 -0.0000 
11	 -10.7825 -1.1448 280.7776 280.9869 -0.0000 
1000022	 50.6475 23.2032 340.7593 358.6514 9410.3964 
1	 -234.0357 94.2501 199.4285 321.6014 -0.0000 
-11	 58.5931 9.6987 55.9130 81.5688 0.0000 
11	 35.0876 -64.8012 108.9328 131.5169 0.0000 
1000022	 140.3550 -39.1476 203.7487 268.6187 9410.3964 
== Event number 8 ==
1	 82.4797 -189.8967 43.9247 211.6437 0.0000 
-11	 6.4255 31.6491 134.7927 138.6074 0.0000 
11	 -63.1665 58.5267 107.5927 137.8099 -0.0000 
1000022	 -25.7387 99.7210 281.7128 315.2448 9410.3964 
1	 127.0681 -162.5161 468.2862 511.7126 -0.0000 
-11	 -55.4152 20.5417 27.4677 65.1712 0.0000 
11	 2.9438 41.1906 52.2989 66.6372 0.0000 
1000022	 -74.5967 100.7837 19.9702 159.7849 9410.3964 
== Event number 9 ==
1	 -78.5370 -132.8868 -32.3457 157.7124 -0.0000 
-11	 42.5002 36.0714 96.4110 111.3665 0.0000 
11	 19.7754 -1.2287 12.2768 23.3087 0.0000 
1000022	 16.2614 98.0440 491.6808 510.9183 9410.3964 
1	 166.6384 -121.8937 42.8058 210.8525 0.0000 
-11	 -39.0667 6.9682 33.0127 51.6197 -0.0000 
11	 -19.3690 -11.2894 17.0255 28.1510 -0.0000 
1000022	 -108.2027 126.2149 475.1790 512.6827 9410.3964 
== Event number 10 ==
1	 101.9090 -69.4288 -60.8922 137.5270 -0.0000 
-11	 -21.1055 45.1325 112.2784 122.8366 0.0000 
11	 -48.1156 37.9473 238.6660 246.4073 0.0000 
1000022	 -32.6878 -13.6510 277.9707 296.5349 9410.3964 
1	 66.0730 15.8765 603.5329 607.3464 0.0000 
-11	 -1.7993 24.7040 -20.9229 32.4236 -0.0000 
11	 -53.1728 -9.9131 -26.9809 60.4449 0.0000 
1000022	 -11.1009 -30.6674 12.3939 103.0909 9410.3964 
== Event number 11 ==
1	 -109.5070 225.1349 326.7118 411.6044 0.0000 
-11	 -6.2754 -0.3610 -6.8189 9.2741 -0.0000 
11	 54.2415 -90.1527 49.1354 116.1204 -0.0000 
1000022	 61.5409 -134.6212 198.9947 266.3070 9410.3964 
1	 -136.8258 65.1758 546.0808 566.7217 0.0000 
-11	 12.5038 14.8854 23.0294 30.1376 -0.0000 
11	 73.7313 -19.3464 21.7188 79.2609 -0.0000 
1000022	 50.5907 -60.7147 -22.8060 127.1857 9410.3964 
== Event number 12 ==
1	 78.1582 -242.8047 237.5802 348.5787 -0.0000 
-11	 -33.4831 68.6985 47.9474 90.2195 0.0000 
11	 24.1251 49.3160 95.6638 110.2980 0.0000 
1000022	 -68.8002 124.7902 186.8317 254.2096 9410.3964 
1	 -239.7605 45.9863 361.4176 436.1450 -0.0000 
-11	 11.8258 -27.8218 6.5887 30.9405 -0.0000 
11	 71.6748 -12.0169 108.7701 130.8151 -0.0000 
1000022	 156.2599 -6.1476 91.2466 205.4052 9410.3964 
== Event number 13 ==
1	 -53.5538 67.4046 595.4138 601.6054 0.0000 
-11	 22.6956 7.8674 18.1469 30.1048 0.0000 
11	 45.6968 -39.3335 -23.9740 64.8851 0.0000 
1000022	 -14.8386 -35.9385 -21.5638 106.7106 9410.3964 
1	 -107.0436 -158.3437 15.8424 191.7864 -0.0000 
-11	 21.1225 47.4733 57.2942 77.3467 0.0000 
