== Event number 0 ==
1	 2223.7139 -31.7698 242.1423 2237.0842 0.0000 
-11	 48.2089 10.2536 1.7787 49.3193 -0.0000 
11	 225.9279 -16.7377 1.7253 226.5536 0.0000 
1000022	 4502.1493 38.2539 -245.6463 4510.0514 9410.3964 
1	 -4009.2187 238.0113 60.9199 4016.7394 0.0000 
-11	 -395.7948 -3.9415 -23.2368 396.4960 -0.0000 
11	 -193.3630 -44.6588 -0.5485 198.4540 -0.0000 
1000022	 -2401.6234 -189.4109 -37.1347 2411.3193 9410.3964 
== Event number 1 ==
1	 5240.8239 -191.0499 -6.9353 5244.3097 0.0000 
-11	 426.1978 21.5892 -16.9503 427.0807 0.0000 
11	 582.9879 105.6265 10.9710 592.5810 -0.0000 
1000022	 749.9904 63.8343 12.9146 759.0373 9410.3964 
1	 -4122.0849 -113.6068 -214.7042 4129.2358 -0.0000 
-11	 -265.2087 9.9375 -8.6625 265.5362 -0.0000 
11	 -336.2942 23.4997 -3.0987 337.1285 0.0000 
1000022	 -2276.4122 80.1695 226.4654 2291.1082 9410.3964 
== Event number 2 ==
1	 5307.8291 -179.5596 -49.4145 5311.0953 -0.0000 
-11	 336.0995 15.6138 35.4134 338.3205 0.0000 
11	 440.8251 16.1267 16.3306 441.4221 0.0000 
1000022	 915.2463 147.8191 -2.3295 932.1707 9410.3964 
1	 -664.6795 41.2032 -152.3404 683.1575 -0.0000 
-11	 -417.8458 -27.8972 8.9464 418.8716 -0.0000 
11	 -42.5193 -1.3572 -7.8780 43.2642 -0.0000 
1000022	 -5874.9554 -11.9488 151.2719 5877.7154 9410.3964 
== Event number 3 ==
1	 3991.1442 242.6777 -40.8637 3998.7241 -0.0000 
-11	 804.0317 -90.3909 -2.1541 809.0996 -0.0000 
11	 1192.0276 -73.6161 23.2450 1194.5247 -0.0000 
1000022	 1012.7965 -78.6707 19.7728 1020.6602 9410.3964 
1	 -5449.1024 -154.9671 -80.8989 5451.9057 0.0000 
-11	 -27.1779 -10.5696 -3.3853 29.3567 0.0000 
11	 -92.5690 22.8258 27.0047 99.0923 0.0000 
1000022	 -1431.1508 142.7109 57.2795 1442.6539 9410.3964 
== Event number 4 ==
1	 1853.8243 23.8004 -231.7576 1868.4064 0.0000 
-11	 437.9943 2.8864 47.0227 440.5207 -0.0000 
11	 675.3242 -24.7109 -1.1439 675.7772 -0.0000 
1000022	 4032.8571 -1.9760 185.8788 4038.3043 9410.3964 
1	 -2292.9612 46.1505 -241.4905 2306.1046 -0.0000 
-11	 -860.8134 7.8902 15.8713 860.9958 -0.0000 
11	 -1404.1277 -20.2423 119.4823 1409.3474 -0.0000 
1000022	 -2442.0978 -33.7983 106.1369 2446.5607 9410.3964 
== Event number 5 ==
